4312	AEA__1__1.wav	aabbe	aabbé	
4313	AEA__1__2.wav	qare	qáre	
4314	AEA__1__3.wav	aabbe	aabbé	
4315	AEA__1__4.wav	qare	qārē	
4316	AEA__1__5.wav	qare	qaré	
4317	AEA__1__6.wav	Waxaan cunay qare.	Waxáan cunay ... qaré.	
4318	AEA__1__7.wav	Waxaan cunay qare.	Wáxaan cunay qáre.	
4319	AEA__1__8.wav	Waxaan cunay qare.	Wáxaan cunay ..... qáre.	
4320	AEA__1__9.wav	Waxaan cunay qare.	Wáxaan cunay ..... qáre.	
4321	AEA__1__10.wav	Ma cuntay qare?	Má cuntay qaré?	
4322	AEA__1__11.wav	Ma cuntay qare?	Má cuntay qarē?	
4323	AEA__1__12.wav	Ma cuntay qare?	*Ma cuntay qare?	
4324	AEA__1__13.wav	Ma cuntay qare?	Má cuntay qaré?	
4325	AEA__1__14.wav	Waxaan cunay qare.	Wáxaan cunay ..... qáre.	
4326	AEA__1__15.wav	Ma cuntay qare?	Má cuntay qaré?	
4327	AEA__1__16.wav	aabbe	aabbé	
4328	AEA__1__17.wav	Waxaa yimid aabbe.	Waxaa yimid ... aábbe.	
4329	AEA__1__18.wav	Waxaa yimid aabbe.	Wáxaa yimid aábbe.	
4330	AEA__1__19.wav	Waxaa yimid aabbe.	Wáxaa yimid aábbe.	
4331	AEA__1__20.wav	Ma aragtay aabbe?	Má aragtay aabbé?	
4332	AEA__1__21.wav	Ma aragtay aabbe?	Má aragtay aabbé?	
4333	AEA__1__22.wav	Waxaa yimid aabbe.	Wáxaa yimíd aábbe.	
4334	AEA__1__23.wav	Ma aragtay aabbe?	Má aragtay aabbé?	
4335	AEA__1__24.wav	bare	báre	
4336	AEA__1__25.wav	bare	baré	
4337	AEA__1__26.wav	Cali waa bare.	Cali waa báre	
4338	AEA__1__27.wav	Cali waa bare.	Cali waa báre	
4339	AEA__1__28.wav	Adigu bare miyaad tahay?	Adígu baré míyaad tahay?	
4340	AEA__1__29.wav	Adigu bare miyaad tahay?	Adígu baré míyaad tahay?	
4341	AEA__1__30.wav	Adigu bare miyaad tahay?	Adígu baré míyaad tahay?	
4342	AEA__1__31.wav	bare	báre	
4343	AEA__1__32.wav	Cali waa bare.	Cali waa báre	
4344	AEA__1__33.wav	Adigu bare miyaad tahay?	Adígu baré míyaad taháy?	
4345	AEA__1__34.wav	Cali waa bare.	Cali waa báre.	
4346	AEA__1__35.wav	Warsame	Warsáme	
4347	AEA__1__36.wav	Warsame	Warsáme	
4348	AEA__1__37.wav	Garoowe	Garóowe	
4349	AEA__1__38.wav	Garoowe	Garóowe	
4350	AEA__1__39.wav	Warsame	Warsáme	
4351	AEA__1__40.wav	Garoowe	Garóowe	
4352	AEA__1__41.wav	Diirriye	Diirríye	
4353	AEA__1__42.wav	Diirriye	Diirríye	
4354	AEA__1__43.wav	madax-weyne	madax-weýne	
4355	AEA__1__44.wav	madax-weyne	madax-weýne	
4356	AEA__1__45.wav	Waxaad tahay madax-weyne.	Waxáad tahay madax-wéyne.	
4357	AEA__1__46.wav	Adigu madax-weyne miyaad tahay?	Adígu madax-weyné míyaad tahay?	
4358	AEA__1__47.wav	Adigu madax-weyne miyaad tahay?	(Adigu) madax-weyné míyaad tahay?	
4359	AEA__1__48.wav	Ma madax-weyne ayaad tahay?	Ma madax-weyné ayáad tahay?	
4360	AEA__1__49.wav	Waxaad tahay madax-weyne.	Wáxaad tahay madax-weýne.	
4361	AEA__1__50.wav	Adigu madax-weyne miyaad tahay?	Adígu madax-weyné míyaad tahay?	
4362	AEA__1__51.wav	Adigu madax-weyne miyaad tahay?	Adígu madax-weyné míyaad tahay?	
4363	AEA__1__52.wav	Ma madax-weyne ayaad tahay?	Ma madax-weyné ayáad tahay?	
4364	AEA__1__53.wav	Adigu madax-weyne miyaad tahay?	Adígu madax-weyné míyaad tahay?	
4365	AEA__1__54.wav	Ma madax-weyne ayaad tahay?	Ma madax-weyné ayáad tahay?	
4366	AEA__1__55.wav	Madax-weyne ayaa yimid Iswiidhan.	Madax-weyné ayáa yimíd Swiídan.	
4367	AEA__1__56.wav	Madax-weyne ayaa yimid Iswiidhan.	Madax-weyné ayáa yimíd Swiídan.	
4368	AEA__1__57.wav	Madax-weyne ayaa yimid Iswiidhan.	Madax-weyné ayáa yimíd Swiídan.	
4369	AEA__1__58.wav	boqor	bóqor	
4370	AEA__1__59.wav	boqorka	bóqorka	
4371	AEA__1__60.wav	Boqorkii ayaa yimid.	Bóqorkīī ayáa yimíd.	
4372	AEA__1__61.wav	Boqorkii ayaa yimid.	Bóqorkii ayáa yimíd.	
4373	AEA__1__62.wav	Boqorkii ma yimid?	Bóqorkii má yimid?	
4374	AEA__1__63.wav	Boqorkii ma yimid?	Bóqorkii má yimid?	
4375	AEA__1__64.wav	Ma yimid boqorkii?	Má yimid bóqorkii?	
4376	AEA__1__65.wav	Wuxuu ahaa madax-weyne.	Wuxúu ahaa madax-weýne.	
4377	AEA__1__66.wav	Wuxuu ahaa boqor.	Wuxúu ahaa bóqor.	
4378	AEA__1__67.wav	Wuxuu ahaa madax-weyne.	Wuxúu ahaa madax-weýne.	
4379	AEA__1__68.wav	Wuxuu ahaa boqor.	Wuxuu ahaa bóqor.	
4380	AEA__1__69.wav	Wuxuu ahaa madax-weyne.	Wuxúu ahaa madax-weýne.	
4381	AEA__1__70.wav	eeddo	eéddo	
4382	AEA__1__71.wav	kalkaaliso	kalkaalíso	
4383	AEA__1__72.wav	Waxaan ahay kalkaaliso.	Wáxaan ahay kalkaalíso.	
4384	AEA__1__73.wav	Waxaa tahay kalkaaliso.	Wáxaa tahay kalkaalíso.	
4385	AEA__1__74.wav	kalkaaliso	kalkaaliso	
4386	AEA__1__75.wav	kalkaaliso	kalkaalíso	
4387	AEA__1__76.wav	Kalkaaliso ayaan ahay.	Kalkaalisó ayáan ahay.	
4388	AEA__1__77.wav	Ma kalkaaliso ayaad tahay?	Ma kalkaalisó ayáad tahay?	
4389	AEA__1__78.wav	Ma kalkaaliso ayaad tahay?	Ma kalkaalisó ayáad tahay?	
4390	AEA__1__79.wav	Ma waxaad tahay kalkaaliso?	Ma wáxaad tahay kalkaalíso?	
4391	AEA__1__80.wav	Adigu kalkaaliso miyaad tahay?	Adígu kalkaalisó miyáad tahay?	
4392	AEA__1__81.wav	Waxaan ahay kalkaaliso.	Wáxaan ahay kalkaalíso.	
4393	AEA__1__82.wav	Kalkaaliso ayaan ahay.	Kalkaalisó ayáan ahay.	
4394	AEA__1__83.wav	Ma kalkaaliso ayaad tahay?	Ma kalkaalisó ayáad tahay?	
4395	AEA__1__84.wav	Ma waxaad tahay kalkaaliso?	Ma wáxaad tahay kalkaalíso?	
4396	AEA__1__85.wav	Adigu kalkaaliso miyaad tahay?	Adígu kalkaalisó miyáad tahay?	
4397	AEA__1__86.wav	Muqdisho	Muqdísho	
4398	AEA__1__87.wav	Muqdisho ayaan deggan ahay.	Muqdishó ayáan deggán ahay.	
4399	AEA__1__88.wav	Muqdisho ayaan deggan ahay.	Muqdishó ayáan deggán ahay.	
